ID,Layer Name,Content,Replace_English,Replace_Japanese,Replace_Simplified Chinese,Replace_Traditional Chinese
1240:15698,러시아,러시아,Russia,ロシア,俄罗斯,俄羅斯
1240:15695,미국,미국,United States,アメリカ,美国,美國
1240:15701,베트남,베트남,Vietnam,ベトナム,越南,越南
1240:15704,세르비아,세르비아,Serbia,セルビア,塞尔维亚,塞爾維亞
I2313:19870;2135:17094,메시지,성함이 ‘홍길동’이 맞나요?,Is your name “Hong Gil-dong”?,お名前は「ホン・ギルドン」でよろしいですか？,你的姓名是“洪吉童”吗？,你的姓名是「洪吉童」嗎？
I2313:19870;2135:17113,메시지메시지메시지메시지메시지메시지메시지메시지메시지메시지메시지메시지메시지메시지,"이름은 변경할 수 없습니다.
설정한 이름이 실명과 다를 시 서비스 이용에 제한이 있을 수 있습니다.","Your name cannot be changed.
If the name you enter is not your real name, your use of the service may be restricted.","名前は変更できません。
設定した名前が実名と異なる場合、サービスの利用が制限されることがあります。","姓名无法更改。
如果填写的姓名与真实姓名不一致，服务使用可能会受到限制。","姓名無法變更。
若填寫的姓名與真實姓名不一致，服務使用可能會受到限制。"
I2313:19870;2135:17095;201:2270,버튼,아니에요,No,いいえ,不是,不是
I2313:19870;2135:17098;201:2270,버튼,"네, 맞아요","Yes, that’s correct",はい、合っています,是的，没错,是的，沒錯
"I1309:8075;201:2501[I1309:9283;201:2501,I1309:8707;201:2501,I1309:9089;201:2501,I1309:8898;201:2501]",메인 문구,약관에 동의해주세요.,Please agree to the terms.,規約に同意してください。,请同意相关条款。,請同意相關條款。
"I1309:8075;201:2502[I1309:9283;201:2502,I1309:8707;201:2502,I1309:9089;201:2502,I1309:8898;201:2502]",서브 문구,PLAYTAP의 서비스를 이용하기 위해 필요해요.,This is required to use PLAYTAP services.,PLAYTAPのサービスを利用するために必要です。,这是使用 PLAYTAP 服务所必需的。,這是使用 PLAYTAP 服務所必需的。
"1309:8080[1728:14146,1309:8712,1309:9094,1309:8903]",필수,전체,All,すべて,全部,全部
"1309:8082[1728:14148,1309:8714,1309:9096,1309:8905]",이용 약관동의,약관 전체동의,Agree to All Terms,すべての規約に同意,同意全部条款,同意全部條款
"I1309:8089;1309:8437[I1309:8090;1309:8437,I1728:14156;1309:8437,I1728:14157;1309:8437,I1309:8721;1240:15079,I1309:8722;1240:15079,1725:13979,I1309:9103;1240:15079,I1309:9104;1240:15079,1725:14074,I1309:8912;1240:15079,I1309:8913;1240:15079,1725:14056]",필수,필수,Required,必須,必填,必填
"I1309:8089;1309:8439[I1728:14156;1309:8439,I1309:8721;1240:15081,1725:13981,I1309:9103;1240:15081,1725:14076,I1309:8912;1240:15081,1725:14058]",이용 약관동의,이용 약관동의,Agree to Terms of Use,利用規約に同意,同意使用条款,同意使用條款
"I1309:8090;1309:8439[I1728:14157;1309:8439,I1309:8722;1240:15081,I1309:9104;1240:15081,I1309:8913;1240:15081]",이용 약관동의,개인정보 수집 및 이용 동의,Consent to Collection and Use of Personal Information,個人情報の収集および利用に同意,同意收集及使用个人信息,同意蒐集及使用個人資料
"I1309:8091;1309:8439[I1728:14158;1309:8439,I1309:8723;1240:15081,I1309:9105;1240:15081,I1309:8914;1240:15081]",이용 약관동의,위치 정보 서비스 이용약관,Location-Based Service Terms of Use,位置情報サービス利用規約,位置服务使用条款,位置資訊服務使用條款
"I1309:8092;1309:8439[I1728:14159;1309:8439,I1309:8724;1240:15081,I1309:9106;1240:15081,I1309:8915;1240:15081]",이용 약관동의,광고성 정보 수신 동의 약관,Consent to Receive Promotional Information,広告性情報の受信に同意,同意接收广告性信息,同意接收廣告性資訊
"I1499:18775;1499:18640[I1499:18809;1499:18640,I1499:18808;1499:18640,I1499:18811;1499:18640,I1499:18810;1499:18640]",App Bar,약관동의,Agree to Terms,規約に同意,同意条款,同意條款
